epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,898.473,0.71105,1.27028,0.99472,0.996,0.96194,0.97005,0.80718,0.83294,1.68937,0.94743,0.000539275,0.000539275,0.000539275
43,919.333,0.85007,1.18916,0.96003,0.99061,0.96852,0.97005,0.79091,0.86551,1.65574,0.97424,0.000511769,0.000511769,0.000511769
44,940.282,1.01518,1.37946,1.02422,0.98975,0.96713,0.97005,0.80665,0.89464,1.6006,0.98979,0.000484263,0.000484263,0.000484263
45,961.394,0.74988,1.34215,0.96044,0.98975,0.96713,0.97005,0.80665,0.89464,1.6006,0.98979,0.000456758,0.000456758,0.000456758
46,982.309,0.60851,2.63206,0.66781,0.98812,0.96822,0.97005,0.80844,0.8465,1.55908,0.96854,0.000429253,0.000429253,0.000429253
47,1003.04,0.60272,2.59991,0.6432,0.98393,0.9684,0.97005,0.77147,0.83029,1.50657,0.95785,0.000401747,0.000401747,0.000401747
48,1023.99,1.07465,1.31395,1.00722,0.98706,0.96868,0.97005,0.78067,0.813,1.48921,0.94888,0.000374242,0.000374242,0.000374242
49,1044.75,0.71279,1.04634,0.8839,0.98706,0.96868,0.97005,0.78067,0.813,1.48921,0.94888,0.000346736,0.000346736,0.000346736
50,1065.58,0.49434,2.54329,0.64154,0.99031,0.96939,0.97005,0.82268,0.67858,1.41156,0.92118,0.000319231,0.000319231,0.000319231
51,1086.34,0.81096,1.31929,0.90532,0.99505,0.97011,0.97005,0.84849,0.56119,1.40703,0.89575,0.000291725,0.000291725,0.000291725
52,1107.17,0.86067,1.30721,1.01315,0.99703,0.97222,0.97005,0.85417,0.48219,1.35944,0.88551,0.00026422,0.00026422,0.00026422
53,1127.99,0.82812,1.31264,0.89821,0.99703,0.97222,0.97005,0.85417,0.48219,1.35944,0.88551,0.000236714,0.000236714,0.000236714
54,1148.84,0.87988,1.2811,0.89637,0.9936,0.97222,0.97005,0.85187,0.48374,1.35275,0.88485,0.000209209,0.000209209,0.000209209
55,1169.43,0.58258,1.37525,0.94484,0.99222,0.97222,0.97005,0.85781,0.48655,1.3424,0.8858,0.000181703,0.000181703,0.000181703
56,1190.24,0.5487,1.17776,0.7563,0.9932,0.97222,0.97005,0.8546,0.54925,1.35346,0.89603,0.000154198,0.000154198,0.000154198
57,1211.24,0.80339,1.2934,0.95263,0.9932,0.97222,0.97005,0.8546,0.54925,1.35346,0.89603,0.000126692,0.000126692,0.000126692
58,1232.14,0.74,1.31634,0.93236,0.99295,0.97222,0.97005,0.85147,0.56231,1.32934,0.89771,9.91865e-05,9.91865e-05,9.91865e-05
59,1253.01,0.76213,1.57612,0.92692,0.99292,0.97222,0.97005,0.84687,0.57625,1.31861,0.89966,7.1681e-05,7.1681e-05,7.1681e-05
60,1273.81,0.6709,1.30147,0.84614,0.99233,0.97222,0.97005,0.86355,0.57004,1.29925,0.89811,4.41755e-05,4.41755e-05,4.41755e-05
